id,budget,overview,popularity,revenue,runtime,title,vote_average,vote_count,collections,company,country,language,director,genre,actor,year,return
862,30000000.0,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,373554033.0,81.0,Toy Story,7.7,5415.0,Toy Story Collection,Pixar Animation Studios,United States of America,English,John Lasseter,"['Animation', 'Comedy', 'Family']","['Tom Hanks', 'Tim Allen', 'Don Rickles']",1995,12.45
8844,65000000.0,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.015539,262797249.0,104.0,Jumanji,6.9,2413.0,None,TriStar Pictures,United States of America,English,Joe Johnston,"['Adventure', 'Fantasy', 'Family']","['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst']",1995,4.04
15602,0.0,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",11.7129,0.0,101.0,Grumpier Old Men,6.5,92.0,Grumpy Old Men Collection,Warner Bros.,United States of America,English,Howard Deutch,"['Romance', 'Comedy']","['Walter Matthau', 'Jack Lemmon', 'Ann-Margret']",1995,0.0
11860,58000000.0,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.677277,0.0,127.0,Sabrina,6.2,141.0,None,Paramount Pictures,Germany,Français,Sydney Pollack,"['Comedy', 'Romance']","['Harrison Ford', 'Julia Ormond', 'Greg Kinnear']",1995,0.0
45325,0.0,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",2.561161,0.0,97.0,Tom and Huck,5.4,45.0,None,Walt Disney Pictures,United States of America,English,Peter Hewitt,"['Action', 'Adventure', 'Drama', 'Family']","['Jonathan Taylor Thomas', 'Brad Renfro', 'Rachael Leigh Cook']",1995,0.0
9091,35000000.0,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",5.23158,64350171.0,106.0,Sudden Death,5.5,174.0,None,Universal Pictures,United States of America,English,Peter Hyams,"['Action', 'Adventure', 'Thriller']","['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood']",1995,1.84
9087,62000000.0,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,107879496.0,106.0,The American President,6.5,199.0,None,Columbia Pictures,United States of America,English,Rob Reiner,"['Comedy', 'Drama', 'Romance']","['Michael Douglas', 'Annette Bening', 'Michael J. Fox']",1995,1.74
12110,0.0,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,0.0,88.0,Dracula: Dead and Loving It,5.7,210.0,None,Columbia Pictures,France,English,Mel Brooks,"['Comedy', 'Horror']","['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck']",1995,0.0
21032,0.0,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,11348324.0,78.0,Balto,7.1,423.0,Balto Collection,Universal Pictures,United States of America,English,Simon Wells,"['Family', 'Animation', 'Adventure']","['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']",1995,0.0
524,52000000.0,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,116112375.0,178.0,Casino,7.8,1343.0,None,Universal Pictures,France,English,Martin Scorsese,"['Drama', 'Crime']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",1995,2.23
4584,16500000.0,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,135000000.0,136.0,Sense and Sensibility,7.2,364.0,None,Columbia Pictures Corporation,United Kingdom,English,Ang Lee,"['Drama', 'Romance']","['Kate Winslet', 'Emma Thompson', 'Hugh Grant']",1995,8.18
5,4000000.0,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,4300000.0,98.0,Four Rooms,6.5,539.0,None,Miramax Films,United States of America,English,Allison Anders,"['Crime', 'Comedy']","['Tim Roth', 'Antonio Banderas', 'Jennifer Beals']",1995,1.08
11517,60000000.0,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337906,35431113.0,103.0,Money Train,5.4,224.0,None,Columbia Pictures,United States of America,English,Joseph Ruben,"['Action', 'Comedy', 'Crime']","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']",1995,0.59
16420,0.0,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1.845899,0.0,123.0,Othello,7.0,33.0,None,Columbia Pictures,Italy,English,Oliver Parker,['Drama'],"['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh']",1995,0.0
17015,0.0,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",2.228434,0.0,104.0,Persuasion,7.4,36.0,None,BBC Films,United Kingdom,English,Roger Michell,"['Drama', 'Romance']","['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood']",1995,0.0
63,29500000.0,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,168840000.0,129.0,Twelve Monkeys,7.4,2470.0,None,Universal Pictures,United States of America,English,Terry Gilliam,"['Science Fiction', 'Thriller', 'Mystery']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']",1995,5.72
9598,30000000.0,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",14.404764,254134910.0,89.0,Babe,6.0,756.0,Babe Collection,Universal Pictures,Australia,English,Chris Noonan,"['Fantasy', 'Drama', 'Comedy', 'Family']","['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann']",1995,8.47
